state,year,deaths,population,crude_rate,age_adjusted_rate
Missouri,2013,960,6042711,15.89,15.65
Missouri,2014,1017,6060930,16.78,16.34
Missouri,2015,1052,6076204,17.31,17.11
Missouri,2016,1133,6093000,18.6,18.34
Montana,1999,162,897507,18.05,17.69
Montana,2000,158,902195,17.51,17.51
Montana,2001,175,906961,19.3,19.27
Montana,2002,184,911667,20.18,19.99
Montana,2003,180,919630,19.57,19.44
Montana,2004,175,930009,18.82,18.79
Montana,2005,206,940102,21.91,21.74
Montana,2006,189,952692,19.84,19.69
Montana,2007,196,964706,20.32,19.38
Montana,2008,203,976415,20.79,20.59
Montana,2009,219,983982,22.26,21.19
Montana,2010,227,989415,22.94,21.75
Montana,2011,232,997821,23.25,22.58
Montana,2012,233,1005196,23.18,22.63
Montana,2013,243,1014314,23.96,23.76
Montana,2014,251,1022867,24.54,23.93
Montana,2015,272,1032073,26.35,25.35
Montana,2016,267,1042520,25.61,25.91
Nebraska,1999,177,1704764,10.38,10.49
Nebraska,2000,193,1711263,11.28,11.27
Nebraska,2001,187,1719836,10.87,10.93
Nebraska,2002,201,1728292,11.63,11.76
Nebraska,2003,176,1738643,10.12,10.15
Nebraska,2004,166,1749370,9.49,9.51
Nebraska,2005,187,1761497,10.62,10.85
Nebraska,2006,202,1772693,11.4,11.17
Nebraska,2007,181,1783440,10.15,10.15
Nebraska,2008,191,1796378,10.63,10.59
Nebraska,2009,170,1812683,9.38,9.3
Nebraska,2010,193,1826341,10.57,10.42
Nebraska,2011,193,1842283,10.48,10.54
Nebraska,2012,232,1855725,12.5,12.48
Nebraska,2013,220,1868559,11.77,11.65
Nebraska,2014,251,1881145,13.34,13.41
Nebraska,2015,223,1893765,11.78,11.78
Nebraska,2016,246,1907116,12.9,13.04
Nevada,1999,404,1934718,20.88,21.28
Nevada,2000,400,1998257,20.02,20.18
Nevada,2001,387,2098399,18.44,18.65
Nevada,2002,423,2173791,19.46,19.64
Nevada,2003,434,2248850,19.3,19.85
Nevada,2004,440,2346222,18.75,18.92
Nevada,2005,480,2432143,19.74,19.78
Nevada,2006,486,2522658,19.27,19.3
Nevada,2007,471,2601072,18.11,18.02
Nevada,2008,528,2653630,19.9,19.7
Nevada,2009,505,2684665,18.81,18.69
Nevada,2010,547,2700551,20.26,19.8
Nevada,2011,516,2718379,18.98,18.41
Nevada,2012,524,2752565,19.04,18.23
Nevada,2013,541,2786464,19.42,18.62
Nevada,2014,573,2833013,20.23,19.58
Nevada,2015,558,2883758,19.35,18.49
Nevada,2016,650,2940058,22.11,21.38
New Hampshire,1999,137,1222014,11.21,11.19
New Hampshire,2000,131,1235786,10.6,10.33
New Hampshire,2001,167,1255517,13.3,13.15
New Hampshire,2002,132,1269089,10.4,10.26
New Hampshire,2003,158,1279840,12.35,12.02
New Hampshire,2004,133,1290121,10.31,9.9
New Hampshire,2005,162,1298492,12.48,12
New Hampshire,2006,151,1308389,11.54,11.22
New Hampshire,2007,158,1312540,12.04,11.15
New Hampshire,2008,179,1315906,13.6,13.13
New Hampshire,2009,166,1316102,12.61,11.84
New Hampshire,2010,196,1316470,14.89,14.06
New Hampshire,2011,198,1318473,15.02,13.76
New Hampshire,2012,202,1321182,15.29,14.13
New Hampshire,2013,185,1322687,13.99,12.79
New Hampshire,2014,247,1328743,18.59,17.78
New Hampshire,2015,228,1330111,17.14,16.51
New Hampshire,2016,244,1334795,18.28,17.24
New Jersey,1999,563,8359592,6.73,6.61
New Jersey,2000,560,8414350,6.66,6.56
New Jersey,2001,588,8492671,6.92,6.8
New Jersey,2002,553,8552643,6.47,6.3
New Jersey,2003,588,8601402,6.84,6.67
New Jersey,2004,597,8634561,6.91,6.81
New Jersey,2005,536,8651974,6.2,6.07
New Jersey,2006,585,8661679,6.75,6.54
New Jersey,2007,596,8677885,6.87,6.67
New Jersey,2008,615,8711090,7.06,6.8
New Jersey,2009,557,8755602,6.36,6.14
New Jersey,2010,719,8791894,8.18,7.76
New Jersey,2011,689,8841243,7.79,7.48
New Jersey,2012,683,8873211,7.7,7.4
New Jersey,2013,757,8899162,8.51,8.04
New Jersey,2014,786,8925001,8.81,8.36
New Jersey,2015,789,8935421,8.83,8.33
New Jersey,2016,687,8944469,7.68,7.2
New Mexico,1999,318,1808082,17.59,18.05
New Mexico,2000,327,1819046,17.98,18.31
New Mexico,2001,362,1831690,19.76,20.24
New Mexico,2002,349,1855309,18.81,19.15
New Mexico,2003,343,1877574,18.27,18.61
New Mexico,2004,356,1903808,18.7,18.79
New Mexico,2005,342,1932274,17.7,17.76
New Mexico,2006,352,1962137,17.94,17.92
New Mexico,2007,401,1990070,20.15,20.28
New Mexico,2008,419,2010662,20.84,20.85
New Mexico,2009,376,2036802,18.46,18.24
New Mexico,2010,413,2059179,20.06,20.14
New Mexico,2011,420,2077756,20.21,20.36
New Mexico,2012,442,2083784,21.21,21.33
New Mexico,2013,431,2085193,20.67,20.29
New Mexico,2014,449,2083024,21.56,21.04
New Mexico,2015,500,2080328,24.03,23.81
New Mexico,2016,471,2081015,22.63,22.49
New York,1999,1196,18882725,6.33,6.26
New York,2000,1132,18976457,5.97,5.91
New York,2001,1253,19082838,6.57,6.48
New York,2002,1228,19137800,6.42,6.32
New York,2003,1169,19175939,6.1,5.95
New York,2004,1187,19171567,6.19,6.04
New York,2005,1189,19132610,6.21,6.03
New York,2006,1326,19104631,6.94,6.7
New York,2007,1396,19132335,7.3,7.04
New York,2008,1409,19212436,7.33,7.08
New York,2009,1417,19307066,7.34,7.01
New York,2010,1547,19378102,7.98,7.65
New York,2011,1658,19519529,8.49,8.13
New York,2012,1708,19602769,8.71,8.26
New York,2013,1687,19673546,8.57,8.11
New York,2014,1700,19718515,8.62,8.13
New York,2015,1652,19747183,8.37,7.88
New York,2016,1679,19745289,8.5,8.1
North Carolina,1999,884,7949361,11.12,11
North Carolina,2000,971,8049313,12.06,11.98
North Carolina,2001,997,8210122,12.14,12.05
North Carolina,2002,986,8326201,11.84,11.74
North Carolina,2003,955,8422501,11.34,11.22
North Carolina,2004,1027,8553152,12.01,11.92
North Carolina,2005,1009,8705407,11.59,11.45
North Carolina,2006,1106,8917270,12.4,12.17
North Carolina,2007,1077,9118037,11.81,11.61
North Carolina,2008,1162,9309449,12.48,12.27
North Carolina,2009,1174,9449566,12.42,12.21
North Carolina,2010,1174,9535483,12.31,12.01
North Carolina,2011,1213,9650963,12.57,12.28
North Carolina,2012,1286,9746175,13.19,12.71
North Carolina,2013,1284,9841590,13.05,12.57
North Carolina,2014,1352,9934399,13.61,13.05
North Carolina,2015,1406,10035186,14.01,13.41
North Carolina,2016,1373,10146788,13.53,13.02
North Dakota,1999,73,644259,11.33,11.05
North Dakota,2000,68,642200,10.59,10.41
North Dakota,2001,79,639062,12.36,12.73
North Dakota,2002,91,638168,14.26,14.27
North Dakota,2003,81,638817,12.68,12.31
North Dakota,2004,73,644705,11.32,11.14
North Dakota,2005,92,646089,14.24,13.66
North Dakota,2006,90,649422,13.86,13.32
North Dakota,2007,95,652822,14.55,14.17
North Dakota,2008,86,657569,13.08,13.1
North Dakota,2009,90,664968,13.53,13.86
North Dakota,2010,106,672591,15.76,15.62
North Dakota,2011,106,685476,15.46,14.87
North Dakota,2012,105,702087,14.96,15.17
North Dakota,2013,128,724019,17.68,17.3
North Dakota,2014,137,739904,18.52,17.77
North Dakota,2015,124,756835,16.38,17.44
North Dakota,2016,140,757952,18.47,18.99
Ohio,1999,1102,11335454,9.72,9.67
Ohio,2000,1088,11353140,9.58,9.53
Ohio,2001,1219,11387404,10.7,10.62
Ohio,2002,1287,11407889,11.28,11.19
Ohio,2003,1074,11434788,9.39,9.32
Ohio,2004,1319,11452251,11.52,11.36
Ohio,2005,1341,11463320,11.7,11.5
Ohio,2006,1325,11481213,11.54,11.28
Ohio,2007,1295,11500468,11.26,11.05
Ohio,2008,1412,11515391,12.26,12.15
Ohio,2009,1176,11528896,10.2,9.99
Ohio,2010,1439,11536504,12.47,12.24
Ohio,2011,1465,11544824,12.69,12.34
Ohio,2012,1542,11550839,13.35,13
Ohio,2013,1526,11570022,13.19,12.86
Ohio,2014,1491,11594408,12.86,12.58
Ohio,2015,1650,11605090,14.22,13.91
Ohio,2016,1707,11614373,14.7,14.14
Oklahoma,1999,492,3437147,14.31,14.43
Oklahoma,2000,497,3450654,14.4,14.56
Oklahoma,2001,515,3467100,14.85,14.88
Oklahoma,2002,501,3489080,14.36,14.4
Oklahoma,2003,476,3504892,13.58,13.65
Oklahoma,2004,506,3525233,14.35,14.43
Oklahoma,2005,522,3548597,14.71,14.83
Oklahoma,2006,537,3594090,14.94,14.98
Oklahoma,2007,531,3634349,14.61,14.68
Oklahoma,2008,575,3668976,15.67,15.67
Oklahoma,2009,567,3717572,15.25,15.26
Oklahoma,2010,618,3751351,16.47,16.5
Oklahoma,2011,693,3786274,18.3,18.48
Oklahoma,2012,670,3817054,17.55,17.62
Oklahoma,2013,665,3852415,17.26,17.2
Oklahoma,2014,736,3877499,18.98,19.09
Oklahoma,2015,790,3907414,20.22,20.34
Oklahoma,2016,822,3923561,20.95,21.02
Oregon,1999,478,3393941,14.08,13.88
Oregon,2000,493,3421399,14.41,14.13
Oregon,2001,505,3467937,14.56,14.36
Oregon,2002,518,3513424,14.74,14.43
Oregon,2003,592,3547376,16.69,16.21
Oregon,2004,555,3569463,15.55,15.06
Oregon,2005,560,3613202,15.5,14.93
Oregon,2006,579,3670883,15.77,15.3
Oregon,2007,594,3722417,15.96,15.31
Oregon,2008,572,3768748,15.18,14.54
Oregon,2009,644,3808600,16.91,16.19
Oregon,2010,685,3831074,17.88,17.13
Oregon,2011,656,3868031,16.96,16.6
Oregon,2012,724,3899116,18.57,17.81
Oregon,2013,698,3925751,17.78,16.85
Oregon,2014,782,3968371,19.71,18.65
Oregon,2015,762,4024634,18.93,17.81
Oregon,2016,772,4093465,18.86,17.86
Pennsylvania,1999,1284,12263805,10.47,10.27
Pennsylvania,2000,1356,12281054,11.04,10.78
Pennsylvania,2001,1276,12298970,10.37,10.15
Pennsylvania,2002,1341,12331031,10.88,10.69
Pennsylvania,2003,1340,12374658,10.83,10.54
Pennsylvania,2004,1410,12410722,11.36,11.06
Pennsylvania,2005,1430,12449990,11.49,11.11
Pennsylvania,2006,1396,12510809,11.16,10.8
Pennsylvania,2007,1441,12563937,11.47,11.07
Pennsylvania,2008,1539,12612285,12.2,11.79
Pennsylvania,2009,1631,12666858,12.88,12.2
Pennsylvania,2010,1576,12702379,12.41,11.89
Pennsylvania,2011,1747,12744293,13.71,13.18
Pennsylvania,2012,1647,12771854,12.9,12.38
Pennsylvania,2013,1788,12781338,13.99,13.36
Pennsylvania,2014,1817,12790565,14.21,13.31
Pennsylvania,2015,1894,12791904,14.81,13.99
Pennsylvania,2016,1970,12784227,15.41,14.68
Rhode Island,1999,96,1040402,9.23,9.06
Rhode Island,2000,75,1048319,7.15,7.05
Rhode Island,2001,88,1057142,8.32,8.08
Rhode Island,2002,86,1065995,8.07,7.96
Rhode Island,2003,84,1071342,7.84,7.7
Rhode Island,2004,85,1074579,7.91,7.59
Rhode Island,2005,71,1067916,6.65,6.3
Rhode Island,2006,90,1063096,8.47,8.19
Rhode Island,2007,96,1057315,9.08,8.78
Rhode Island,2008,110,1055003,10.43,9.95
Rhode Island,2009,118,1053646,11.2,10.75
Rhode Island,2010,129,1052567,12.26,12.33
Rhode Island,2011,101,1052451,9.6,8.88
Rhode Island,2012,105,1052901,9.97,9.44
Rhode Island,2013,132,1053033,12.54,12.13
Rhode Island,2014,113,1054480,10.72,10.05
Rhode Island,2015,127,1055607,12.03,11.21
Rhode Island,2016,126,1056426,11.93,11.19
South Carolina,1999,418,3974682,10.52,10.5
South Carolina,2000,443,4012012,11.04,11.07
South Carolina,2001,467,4064995,11.49,11.4
South Carolina,2002,440,4107795,10.71,10.75
South Carolina,2003,476,4150297,11.47,11.46
South Carolina,2004,482,4210921,11.45,11.29
South Carolina,2005,510,4270150,11.94,11.81
South Carolina,2006,524,4357847,12.02,11.8
South Carolina,2007,530,4444110,11.93,11.62
South Carolina,2008,565,4528996,12.48,12
South Carolina,2009,619,4589872,13.49,13.03
South Carolina,2010,637,4625364,13.77,13.45
South Carolina,2011,658,4672637,14.08,13.59
South Carolina,2012,673,4720760,14.26,13.69
South Carolina,2013,696,4767894,14.6,13.99
South Carolina,2014,753,4828430,15.6,15.16
South Carolina,2015,742,4894834,15.16,14.85
South Carolina,2016,815,4961119,16.43,15.69
South Dakota,1999,103,750412,13.73,13.7
South Dakota,2000,95,754844,12.59,12.69
South Dakota,2001,105,757972,13.85,13.97
South Dakota,2002,94,760020,12.37,12.29
South Dakota,2003,102,763729,13.36,13.52
South Dakota,2004,112,770396,14.54,14.81
South Dakota,2005,121,775493,15.6,15.42
South Dakota,2006,125,783033,15.96,16.03
South Dakota,2007,102,791623,12.88,12.54
South Dakota,2008,124,799124,15.52,15.72
South Dakota,2009,129,807067,15.98,16.33
South Dakota,2010,140,814180,17.2,17.46
South Dakota,2011,128,824398,15.53,15.66
South Dakota,2012,141,834441,16.9,16.8
South Dakota,2013,147,844922,17.4,18.04
South Dakota,2014,141,852561,16.54,17.1
South Dakota,2015,173,857919,20.17,20.46
South Dakota,2016,163,865454,18.83,20.22
Tennessee,1999,726,5638706,12.88,12.69
Tennessee,2000,730,5689283,12.83,12.73
Tennessee,2001,711,5750789,12.36,12.22
Tennessee,2002,778,5795918,13.42,13.27
Tennessee,2003,762,5847812,13.03,12.86
Tennessee,2004,792,5910809,13.4,13.17
Tennessee,2005,856,5991057,14.29,14.01
Tennessee,2006,874,6088766,14.35,14.14
Tennessee,2007,844,6175727,13.67,13.35
Tennessee,2008,973,6247411,15.57,15.1
Tennessee,2009,947,6306019,15.02,14.6
Tennessee,2010,943,6346105,14.86,14.59
Tennessee,2011,955,6397634,14.93,14.37
Tennessee,2012,978,6454306,15.15,14.6
Tennessee,2013,1030,6494821,15.86,15.34
Tennessee,2014,997,6544663,15.23,14.8
Tennessee,2015,1068,6595056,16.19,15.68
Tennessee,2016,1111,6651194,16.7,16.26
Texas,1999,2005,20558220,9.75,10.21
Texas,2000,2053,20851820,9.85,10.22
Texas,2001,2225,21319622,10.44,10.88
Texas,2002,2311,21690325,10.65,11.08
Texas,2003,2363,22030931,10.73,11.12
Texas,2004,2300,22394023,10.27,10.66
Texas,2005,2418,22778123,10.62,10.94
Texas,2006,2347,23359580,10.05,10.32
Texas,2007,2433,23831983,10.21,10.46
Texas,2008,2552,24309039,10.5,10.79
Texas,2009,2809,24801761,11.33,11.56
Texas,2010,2891,25145561,11.5,11.75
Texas,2011,2896,25646389,11.29,11.5
Texas,2012,3037,26071655,11.65,11.86
Texas,2013,3059,26473525,11.55,11.67
Texas,2014,3254,26944751,12.08,12.22
Texas,2015,3403,27429639,12.41,12.51
Texas,2016,3488,27862596,12.52,12.6
Utah,1999,282,2203482,12.8,14.02
Utah,2000,298,2233169,13.34,14.76
Utah,2001,321,2283715,14.06,15.45
Utah,2002,340,2324815,14.62,16.16
Utah,2003,336,2360137,14.24,15.44
Utah,2004,377,2401580,15.7,17.19
Utah,2005,348,2457719,14.16,15.37
Utah,2006,362,2525507,14.33,15.99
Utah,2007,378,2597746,14.55,15.79
Utah,2008,390,2663029,14.64,15.85
Utah,2009,449,2723421,16.49,17.89
Utah,2010,473,2763885,17.11,18.28
Utah,2011,502,2816124,17.83,19.43
Utah,2012,550,2855782,19.26,21.01
Utah,2013,579,2902663,19.95,21.44
Utah,2014,559,2941836,19,20.55
Utah,2015,630,2990632,21.07,22.41
Utah,2016,620,3051217,20.32,21.81
Vermont,1999,63,604683,10.42,10.25
Vermont,2000,77,608827,12.65,12.34
Vermont,2001,72,612223,11.76,11.38
Vermont,2002,92,615442,14.95,14.29
Vermont,2003,83,617858,13.43,13.03
Vermont,2004,93,619920,15,14.55
Vermont,2005,78,621215,12.56,12.47
Vermont,2006,81,622892,13,12.17
Vermont,2007,89,623481,14.27,13.84
Vermont,2008,94,624151,15.06,14.09
Vermont,2009,87,624817,13.92,12.95
Vermont,2010,106,625741,16.94,15.73
Vermont,2011,120,626730,19.15,17.77
Vermont,2012,87,626444,13.89,13.05
Vermont,2013,112,627140,17.86,16.78
Vermont,2014,124,626984,19.78,18.74
Vermont,2015,103,626088,16.45,14.8
Vermont,2016,118,624594,18.89,17.28
Virginia,1999,791,7000174,11.3,11.21
Virginia,2000,768,7078515,10.85,10.82
Virginia,2001,797,7198362,11.07,10.97
Virginia,2002,799,7286873,10.96,10.92
Virginia,2003,808,7366977,10.97,10.86
Virginia,2004,828,7475575,11.08,10.93
Virginia,2005,866,7577105,11.43,11.17
Virginia,2006,876,7673725,11.42,11.13
Virginia,2007,880,7751000,11.35,11.12
Virginia,2008,948,7833496,12.1,11.78
Virginia,2009,963,7925937,12.15,11.72
Virginia,2010,963,8001024,12.04,11.67
Virginia,2011,1054,8110035,13,12.55
Virginia,2012,1063,8192048,12.98,12.63
Virginia,2013,1072,8262692,12.97,12.53
Virginia,2014,1123,8317372,13.5,12.88
Virginia,2015,1118,8367587,13.36,12.72
Virginia,2016,1166,8411808,13.86,13.24
Washington,1999,816,5842564,13.97,14.04
Washington,2000,727,5894121,12.33,12.36
Washington,2001,712,5985722,11.89,11.86
Washington,2002,811,6052349,13.4,13.36
Washington,2003,803,6104115,13.16,13.04
Washington,2004,830,6178645,13.43,13.31
Washington,2005,822,6257305,13.14,12.8
Washington,2006,809,6370753,12.7,12.33
Washington,2007,865,6461587,13.39,13.08
Washington,2008,889,6562231,13.55,13.14
Washington,2009,921,6667426,13.81,13.36
Washington,2010,957,6724540,14.23,13.94
Washington,2011,1021,6822520,14.97,14.3
Washington,2012,1038,6895226,15.05,14.54
Washington,2013,1027,6968006,14.74,14.06
Washington,2014,1119,7054196,15.86,15.27
Washington,2015,1137,7160290,15.88,15.43
Washington,2016,1141,7288000,15.66,14.89
West Virginia,1999,229,1811799,12.64,12.13
West Virginia,2000,245,1808344,13.55,13.18
West Virginia,2001,286,1801481,15.88,15.05
West Virginia,2002,276,1805414,15.29,14.84
West Virginia,2003,266,1812295,14.68,14.03
West Virginia,2004,285,1816438,15.69,15.42
West Virginia,2005,255,1820492,14.01,13.24
West Virginia,2006,269,1827912,14.72,13.99
West Virginia,2007,300,1834052,16.36,15.74
West Virginia,2008,261,1840310,14.18,13.7
West Virginia,2009,253,1847775,13.69,13.14
West Virginia,2010,279,1852994,15.06,14.11
West Virginia,2011,306,1854972,16.5,15.93
West Virginia,2012,326,1856560,17.56,17.1
West Virginia,2013,323,1853231,17.43,16.45
West Virginia,2014,359,1848514,19.42,18.11
West Virginia,2015,340,1841053,18.47,17.48
West Virginia,2016,362,1831102,19.77,19.31
Wisconsin,1999,593,5332666,11.12,11.05
Wisconsin,2000,590,5363675,11,10.93
Wisconsin,2001,639,5406835,11.82,11.69
Wisconsin,2002,627,5445162,11.51,11.34
Wisconsin,2003,647,5479203,11.81,11.65
Wisconsin,2004,662,5514026,12.01,11.89
Wisconsin,2005,643,5546166,11.59,11.55
Wisconsin,2006,670,5577655,12.01,11.95
Wisconsin,2007,729,5610775,12.99,12.75
Wisconsin,2008,743,5640996,13.17,12.82
Wisconsin,2009,724,5669264,12.77,12.49
Wisconsin,2010,793,5686986,13.94,13.41
Wisconsin,2011,745,5709640,13.05,12.75
Wisconsin,2012,723,5726177,12.63,12.35
Wisconsin,2013,850,5742854,14.8,14.37
Wisconsin,2014,769,5758377,13.35,13.1
Wisconsin,2015,877,5767891,15.2,14.68
Wisconsin,2016,866,5778708,14.99,14.67
Wyoming,1999,98,491780,19.93,20.26
Wyoming,2000,83,493782,16.81,16.77
Wyoming,2001,83,494657,16.78,16.45
Wyoming,2002,105,500017,21,20.81
Wyoming,2003,109,503453,21.65,21.79
Wyoming,2004,88,509106,17.29,17.52
Wyoming,2005,90,514157,17.5,17.28
Wyoming,2006,116,522667,22.19,21.66
Wyoming,2007,101,534876,18.88,19.34
Wyoming,2008,124,546043,22.71,22.61
Wyoming,2009,111,559851,19.83,20.38
Wyoming,2010,131,563626,23.24,22.42
Wyoming,2011,132,567725,23.25,23.27
Wyoming,2012,171,576765,29.65,29.6
Wyoming,2013,129,582684,22.14,21.48
Wyoming,2014,120,583642,20.56,20.67
Wyoming,2015,157,586555,26.77,27.99
Wyoming,2016,144,585501,24.59,25.25